Sentences of 106_the_poor_millers_boy_and_the_cat,RST Relation 106_the_poor_millers_boy_and_the_cat,Nuclearity,One Label
"The forester climbed up, brought the child down, and thought to himself: You will take him home with you, and bring him up with your Lina.",Elaboration,S,JOY
"He took it home, therefore, and the two children grew up together.",Elaboration,N,NEUTRAL
"And the one, which he had found on a tree was called Fundevogel, because a bird had carried it away.",Elaboration,S,NEUTRAL
Fundevogel and Lina loved each other so dearly that when they did not see each other they were sad.,Contrast,S,NEUTRAL
"Now the forester had an old cook, who one evening took two pails and began to fetch water, and did not go once only, but many times, out to the spring.",Elaboration,N,NEUTRAL
"Lina saw this and said, Listen, old Sanna, why are you fetching so much water?",Condition,S,-
"If you will never repeat it to anyone, I will tell you why.",Condition,S,NEUTRAL
"So Lina said, no, she would never repeat it to anyone, and then the cook said: Early tomorrow morning, when the forester is out hunting, I will heat the water, and when it is boiling in the kettle, I will throw in Fundevogel, and will boil him in it.",topic-comment,N,-
"Early next morning the forester got up and went out hunting, and when he was gone the children were still in bed.",Elaboration,N,NEUTRAL
"Then Lina said to Fundevogel: If you will never leave me, I too will never leave you.",evaluation,N,-
"Fundevogel said: Neither now, nor ever will I leave you.",Condition,S,-
Then said Lina: Then will I tell you.,Condition,S,-
"Last night, old Sanna carried so many buckets of water into the house that I asked her why she was doing that, and she said that if I would promise not to tell anyone, and she said that early tomorrow morning when father was out hunting, she would set the kettle full of water, throw you into it and boil you; but we will get up quickly, dress ourselves, and go away together.",Contrast,S,FEAR
"The two children therefore got up, dressed themselves quickly, and went away.",Elaboration,N,-
"When the water in the kettle was boiling, the cook went into the bedroom to fetch Fundevogel and throw him into it.",Enablement,S,NEUTRAL
"But when she came in, and went to the beds, both the children were gone.",Contrast,S,-
"Then she was terribly alarmed, and she said to herself: What shall I say now when the forester comes home and sees that the children are gone?",evaluation,S,-
They must be followed instantly to get them back again.,evaluation,S,FEAR
"Then the cook sent three servants after them, who were to run and overtake the children.",Enablement,S,-
"The children, however, were sitting outside the forest, and when they saw from afar the three servants running, Lina said to Fundevogel: Never leave me, and I will never leave you.",Elaboration,S,-
"Fundevogel said: Neither now, nor ever.",Attribution,S,-
"Then said Lina: Do you become a rose-tree, and I the rose upon it.",evaluation,S,NEUTRAL
"When the three servants came to the forest, nothing was there but a rose-tree and one rose on it, but the children were nowhere.",Elaboration,S,-
"Then said they: There is nothing to be done here, and they went home and told the cook that they had seen nothing in the forest but a little rose-bush with one rose on it.",Contrast,S,-
"Then the old cook scolded and said: You simpletons, you should have cut the rose-bush in two, and have broken off the rose and brought it home with you; go, and do it at once.",Contrast,S,ANGER
They had therefore to go out and look for the second time.,Enablement,S,NEUTRAL
"The children, however, saw them coming from a distance.",evaluation,S,NEUTRAL
"Then Lina said: Fundevogel, never leave me, and I will never leave you.",Contrast,S,-
Fundevogel said: Neither now; nor ever.,Attribution,S,-
"Said Lina: Then do you become a church, and Ill be the chandelier in it.",Enablement,S,NEUTRAL
"So when the three servants came, nothing was there but a church, with a chandelier in it.",evaluation,S,-
"They said therefore to each other: What can we do here, let us go home.",evaluation,S,-
"When they got home, the cook asked if they had not found them; so they said no, they had found nothing but a church, and there was a chandelier in it.",Elaboration,S,-
"And the cook scolded them and said: You fools! why did you not pull the church to pieces, and bring the chandelier home with you?",Enablement,S,ANGER
"And now the old cook herself got on her legs, and went with the three servants in pursuit of the children.",Contrast,S,-
"The children, however, saw from afar that the three servants were coming, and the cook waddling after them.",Elaboration,S,-
"Then said Lina: Fundevogel, never leave me, and I will never leave you.",Contrast,S,-
"Then said Fundevogel: Neither now, nor ever.",Attribution,S,-
"Said Lina: Be a fishpond, and I will be the duck upon it.",Enablement,S,NEUTRAL
"The cook, however, came up to them, and when she saw the pond she lay down by it, and was about to drink it up.",Contrast,S,FEAR
"But the duck swam quickly to her, seized her head in its beak and drew her into the water, and there the old witch had to drown.",Contrast,S,JOY
"Then the children went home together, and were heartily delighted, and if they have not died, they are living still.",Contrast,S,JOY
Sentences of ginger_and_pickles,RST Relation ginger_and_pickles,Nuclearity,One Label
Once upon a time there was a village shop.,Contrast,N,NEUTRAL
The name over the window was Ginger and Pickles.,Elaboration,N,NEUTRAL
It was a little small shop just the right size for Dolls-- Lucinda and Jane Doll-cook always bought their groceries at Ginger and Pickles.,Contrast,S,NEUTRAL
The counter inside was a convenient height for rabbits.,Elaboration,N,NEUTRAL
Ginger and Pickles sold red spotty pocket handkerchiefs at a penny three farthings.,Elaboration,S,NEUTRAL
"They also sold sugar, and snuff and galoshes.",Elaboration,S,NEUTRAL
"In fact, although it was such a small shop it sold nearly everything--except a few things that you want in a hurry--like bootlaces, hair- pins and mutton chops.",Contrast,N,NEUTRAL
Ginger and Pickles were the people who kept the shop.,Elaboration,N,NEUTRAL
"Ginger was a yellow tomcat, and Pickles was a terrier.",Elaboration,N,NEUTRAL
The rabbits were always a little bit afraid of Pickles.,Elaboration,S,-
The shop was also patronized by mice--only the mice were rather afraid of Ginger.,Elaboration,S,-
"Ginger usually requested Pickles to serve them, because he said it made his mouth water.",evaluation,S,NEUTRAL
"I cannot bear, said he, to see them going out at the door carrying their little parcels.",evaluation,S,NEUTRAL
"I have the same feeling about rats, replied Pickles, but it would never do to eat our customers; they would leave us and go to Tabitha Twitchit's.",Enablement,N,NEUTRAL
"On the contrary, they would go nowhere, replied Ginger gloomily.",Contrast,N,-
(Tabitha Twitchit kept the only other shop in the village.,Contrast,N,NEUTRAL
She did not give credit.),Contrast,S,NEUTRAL
But there is no money in what is called the till.,Contrast,S,NEUTRAL
Ginger and Pickles gave unlimited credit.,Elaboration,S,NEUTRAL
"Now the meaning of credit is this--when a customer buys a bar of soap, instead of the customer pulling out a purse and paying for it --she says she will pay another time.",Contrast,S,NEUTRAL
"And Pickles makes a low bow and says, With pleasure, madam, and it is written down in a book.",Contrast,S,NEUTRAL
"The customers come again and again, and buy quantities, in spite of being afraid of Ginger and Pickles.",Elaboration,S,-
"The customers came in crowds every day and bought quantities, especially the toffee customers.",Elaboration,S,NEUTRAL
But there was always no money; they never paid for as much as a penny- worth of peppermints.,Contrast,N,NEUTRAL
"But the sales were enormous, ten times as large as Tabitha Twitchit's.",Contrast,N,NEUTRAL
"As there was always no money, Ginger and Pickles were obliged to eat their own goods.",Enablement,S,NEUTRAL
Pickles ate biscuits and Ginger ate a dried haddock.,Elaboration,S,NEUTRAL
They ate them by candle- light after the shop was closed.,Elaboration,S,NEUTRAL
"It is very uncomfortable, I am afraid I shall be summoned.",evaluation,S,-
I have tried in vain to get a license upon credit at the Post Office; said Pickles.,Enablement,S,-
The place is full of policemen.,evaluation,S,NEUTRAL
I met one as I was coming home.,Elaboration,S,NEUTRAL
"Let us send in the bill again to Samuel Whiskers, Ginger, he owes 22/9 for bacon.",evaluation,S,NEUTRAL
"I do not believe that he intends to pay at all, replied Ginger.",evaluation,S,NEUTRAL
"When it came to Jan. 1st there was still no money, and Pickles was unable to buy a dog license.",Elaboration,S,NEUTRAL
"It is very unpleasant, I am afraid of the police, said Pickles.",evaluation,S,FEAR
"It is your own fault for being a terrier; _I_ do not require a license, and neither does Kep, the Collie dog.",evaluation,S,NEUTRAL
And I feel sure that Anna Maria pockets things--,evaluation,S,-
Where are all the cream crackers?,evaluation,S,NEUTRAL
You have eaten them yourself. replied Ginger.,evaluation,S,NEUTRAL
Ginger and Pickles retired into the back parlor.,Elaboration,S,NEUTRAL
They did accounts.,evaluation,S,NEUTRAL
"They added up sums and sums, and sums.",Elaboration,S,NEUTRAL
Samuel Whiskers has run up a bill as long as his tail; he has had an ounce and three- quarters of snuff since October.,Contrast,S,NEUTRAL
"What is seven pounds of butter at 1/3, and a stick of sealing wax and four matches?",Enablement,S,NEUTRAL
"Send in all the bills again to everybody `with compliments,' replied Ginger.",Enablement,S,NEUTRAL
"Pickles nearly had a fit, he barked and he barked and made little rushes.",Elaboration,S,ANGER
"Bite him, Pickles! bite him! spluttered Ginger behind a sugar barrel, he's only a German doll!",Enablement,S,-
"The policeman went on writing in his notebook; twice he put his pencil in his mouth, and once he dipped it in the treacle.",Elaboration,N,NEUTRAL
Pickles barked till he was hoarse.,Elaboration,S,-
But still the policeman took no notice.,Contrast,S,NEUTRAL
"He had bead eyes, and his helmet was sewed on with stitches.",Elaboration,S,NEUTRAL
"After a time they heard a noise in the shop, as if something had been pushed in at the door.",Background,S,NEUTRAL
They came out of the back parlor.,Enablement,S,NEUTRAL
"There was an envelope lying on the counter, and a policeman writing in a notebook!",Enablement,S,NEUTRAL
At length on his last little rush--Pickles found that the shop was empty.,Enablement,S,NEUTRAL
The policeman had disappeared.,Elaboration,S,NEUTRAL
But the envelope remained.,Enablement,S,NEUTRAL
Do you think that he has gone to fetch a real live policeman?,Enablement,S,NEUTRAL
"I am afraid it is a summons, said Pickles.",Contrast,S,FEAR
"No, replied Ginger, who had opened the envelope, it is the rates and taxes, 3 pounds 19 11 3/4. [pounds are British money, the 19 is schillings, and then pence]",summary,S,NEUTRAL
"This is the last straw, said Pickles, let us close the shop.",Enablement,S,-
"They put up the shutters, and left.",Enablement,S,NEUTRAL
But they have not removed from the neighborhood.,Contrast,N,NEUTRAL
In fact some people wish they had gone further.,Enablement,S,NEUTRAL
Ginger is living in the warren [game preserve for rabbits].,Enablement,S,NEUTRAL
I do not know what occupation he pursues; he looks stout and comfortable.,evaluation,S,NEUTRAL
Pickles is at present a game- keeper.,Enablement,S,NEUTRAL
After a time Mr. John Dormouse and his daughter began to sell peppermints and candles.,Enablement,S,NEUTRAL
But they did not keep self- fitting sixes; and it takes five mice to carry one seven inch candle.,Enablement,S,NEUTRAL
The closing of the shop caused great inconvenience.,Elaboration,S,NEUTRAL
Tabitha Twitchit immediately raised the price of everything a halfpenny; and she continued to refuse to give credit.,Enablement,S,NEUTRAL
"Of course there are the tradesmen's carts--the butcher, the fishman and Timothy Baker.",Enablement,S,NEUTRAL
But a person cannot live on seed wigs and sponge cake and butter buns--not even when the sponge cake is as good as Timothy's!,Contrast,S,NEUTRAL
And Miss Dormouse refused to take back the ends when they were brought back to her with complaints.,Enablement,S,NEUTRAL
"And when Mr. John Dormouse was complained to, he stayed in bed, and would say nothing but very snug; which is not the way to carry on a retail business.",Enablement,S,NEUTRAL
Besides--the candles which they sell behave very strangely in warm weather.,Enablement,S,NEUTRAL
So everybody was pleased when Sally Henny Penny sent out a printed poster to say that she was going to reopen the shop--Henny's Opening Sale!,Enablement,S,JOY
Grand cooperative Jumble!,Attribution,S,NEUTRAL
Penny's penny prices!,Enablement,S,NEUTRAL
"Come buy, come try, come buy!",Enablement,S,NEUTRAL
The poster really was most 'ticing.,Elaboration,S,NEUTRAL
There was a rush upon the opening day.,Enablement,S,NEUTRAL
"The shop was crammed with customers, and there were crowds of mice upon the biscuit cannisters.",Elaboration,S,NEUTRAL
"Sally Henny Penny gets rather flustered when she tries to count out change, and she insists on being paid cash; but she is quite harmless.",evaluation,N,ANGER
And she has laid in a remarkable assortment of bargains.,Enablement,S,NEUTRAL
There is something to please everybody.,Enablement,S,JOY
Sentences of goblin,RST Relation goblin,Nuclearity,One Label
"THERE was once a regular student, who lived in a garret, and had no possessions.",Elaboration,N,NEUTRAL
"And there was also a regular huckster, to whom the house belonged, and who occupied the ground floor.",Elaboration,N,NEUTRAL
"A goblin lived with the huckster, because at Christmas he always had a large dish full of jam, with a great piece of butter in the middle.",Contrast,S,NEUTRAL
"The huckster could afford this; and therefore the goblin remained with the huckster, which was very cunning of him.",Elaboration,N,NEUTRAL
"One evening the student came into the shop through the back door to buy candles and cheese for himself, he had no one to send, and therefore he came himself; he obtained what he wished, and then the huckster and his wife nodded good evening to him, and she was a woman who could do more than merely nod, for she had usually plenty to say for herself.",Contrast,N,NEUTRAL
"The student nodded in return as he turned to leave, then suddenly stopped, and began reading the piece of paper in which the cheese was wrapped.",Elaboration,N,NEUTRAL
"It was a leaf torn out of an old book, a book that ought not to have been torn up, for it was full of poetry.",Elaboration,S,NEUTRAL
"Yonder lies some more of the same sort, said the huckster: I gave an old woman a few coffee berries for it; you shall have the rest for sixpence, if you will.",evaluation,S,NEUTRAL
"Indeed I will, said the student; give me the book instead of the cheese; I can eat my bread and butter without cheese.",evaluation,N,NEUTRAL
It would be a sin to tear up a book like this.,evaluation,S,NEUTRAL
You are a clever man; and a practical man; but you understand no more about poetry than that cask yonder.,evaluation,S,-
"This was a very rude speech, especially against the cask; but the huckster and the student both laughed, for it was only said in fun.",Elaboration,S,-
But the goblin felt very angry that any man should venture to say such things to a huckster who was a householder and sold the best butter.,Elaboration,S,ANGER
"As soon as it was night, and the shop closed, and every one in bed except the student, the goblin stepped softly into the bedroom where the huckster's wife slept, and took away her tongue, which of course, she did not then want.",Elaboration,S,NEUTRAL
"Whatever object in the room he placed his tongue upon immediately received voice and speech, and was able to express its thoughts and feelings as readily as the lady herself could do.",Elaboration,S,NEUTRAL
"It could only be used by one object at a time, which was a good thing, as a number speaking at once would have caused great confusion.",Elaboration,S,NEUTRAL
"The goblin laid the tongue upon the cask, in which lay a quantity of old newspapers.",Elaboration,S,NEUTRAL
"Is it really true, he asked, that you do not know what poetry is?",evaluation,S,NEUTRAL
"Of course I know, replied the cask: poetry is something that always stand in the corner of a newspaper, and is sometimes cut out; and I may venture to affirm that I have more of it in me than the student has, and I am only a poor tub of the huckster's.",Contrast,S,NEUTRAL
Then the goblin placed the tongue on the coffee mill; and how it did go to be sure!,Elaboration,S,NEUTRAL
"Then he put it on the butter tub and the cash box, and they all expressed the same opinion as the waste-paper tub; and a majority must always be respected.",Elaboration,S,NEUTRAL
"Now I shall go and tell the student, said the goblin; and with these words he went quietly up the back stairs to the garret where the student lived.",Elaboration,S,NEUTRAL
"He had a candle burning still, and the goblin peeped through the keyhole and saw that he was reading in the torn book, which he had brought out of the shop.",Elaboration,S,NEUTRAL
But how light the room was!,Comparison,S,-
"From the book shot forth a ray of light which grew broad and full, like the stem of a tree, from which bright rays spread upward and over the student's head.",Elaboration,S,NEUTRAL
"Each leaf was fresh, and each flower was like a beautiful female head; some with dark and sparkling eyes, and others with eyes that were wonderfully blue and clear.",Elaboration,S,NEUTRAL
"The fruit gleamed like stars, and the room was filled with sounds of beautiful music.",Elaboration,S,NEUTRAL
"The little goblin had never imagined, much less seen or heard of, any sight so glorious as this.",Elaboration,S,JOY
"He stood still on tiptoe, peeping in, till the light went out in the garret.",Elaboration,S,NEUTRAL
"The student no doubt had blown out his candle and gone to bed; but the little goblin remained standing there nevertheless, and listening to the music which still sounded on, soft and beautiful, a sweet cradle-song for the student, who had lain down to rest.",Elaboration,S,-
"This is a wonderful place, said the goblin; I never expected such a thing.",evaluation,S,JOY
"I should like to stay here with the student; and the little man thought it over, for he was a sensible little spirit.",evaluation,S,-
"At last he sighed, but the student has no jam!",explanation,S,SADNESS
"So he went down stairs again into the huckster's shop, and it was a good thing he got back when he did, for the cask had almost worn out the lady's tongue; he had given a description of all that he contained on one side, and was just about to turn himself over to the other side to describe what was there, when the goblin entered and restored the tongue to the lady.",Contrast,N,NEUTRAL
"But from that time forward, the whole shop, from the cash box down to the pinewood logs, formed their opinions from that of the cask; and they all had such confidence in him, and treated him with so much respect, that when the huckster read the criticisms on theatricals and art of an evening, they fancied it must all come from the cask.",Contrast,S,NEUTRAL
"But after what he had seen, the goblin could no longer sit and listen quietly to the wisdom and understanding down stairs; so, as soon as the evening light glimmered in the garret, he took courage, for it seemed to him as if the rays of light were strong cables, drawing him up, and obliging him to go and peep through the keyhole; and, while there, a feeling of vastness came over him such as we experience by the ever-moving sea, when the storm breaks forth; and it brought tears into his eyes.",Contrast,S,-
"He did not himself know why he wept, yet a kind of pleasant feeling mingled with his tears.",evaluation,N,-
"How wonderfully glorious it would be to sit with the student under such a tree; but that was out of the question, he must be content to look through the keyhole, and be thankful for even that.",evaluation,S,NEUTRAL
"There he stood on the old landing, with the autumn wind blowing down upon him through the trap-door.",evaluation,S,NEUTRAL
"It was very cold; but the little creature did not really feel it, till the light in the garret went out, and the tones of music died away.",Elaboration,S,NEUTRAL
"Then how he shivered, and crept down stairs again to his warm corner, where it felt home-like and comfortable.",Elaboration,S,NEUTRAL
"And when Christmas came again, and brought the dish of jam and the great lump of butter, he liked the huckster best of all.",Elaboration,S,-
"Soon after, in the middle of the night, the goblin was awoke by a terrible noise and knocking against the window shutters and the house doors, and by the sound of the watchman's horn; for a great fire had broken out, and the whole street appeared full of flames.",Contrast,S,-
"Was it in their house, or a neighbor's?",Elaboration,S,NEUTRAL
"No one could tell, for terror had seized upon all.",Elaboration,S,FEAR
"The huckster's wife was so bewildered that she took her gold ear-rings out of her ears and put them in her pocket, that she might save something at least.",Elaboration,S,-
"The huckster ran to get his business papers, and the servant resolved to save her blue silk mantle, which she had managed to buy.",Elaboration,S,-
Each wished to keep the best things they had.,Elaboration,S,-
"The goblin had the same wish; for, with one spring, he was up stairs and in the student's room, whom he found standing by the open window, and looking quite calmly at the fire, which was raging at the house of a neighbor opposite.",Elaboration,S,NEUTRAL
"The goblin caught up the wonderful book which lay on the table, and popped it into his red cap, which he held tightly with both hands.",Elaboration,S,NEUTRAL
"The greatest treasure in the house was saved; and he ran away with it to the roof, and seated himself on the chimney.",Elaboration,S,NEUTRAL
"The flames of the burning house opposite illuminated him as he sat, both hands pressed tightly over his cap, in which the treasure lay; and then he found out what feelings really reigned in his heart, and knew exactly which way they tended.",Elaboration,S,NEUTRAL
"And yet, when the fire was extinguished, and the goblin again began to reflect, he hesitated, and said at last, I must divide myself between the two; I cannot quite give up the huckster, because of the jam.",Contrast,N,NEUTRAL
And this is a representation of human nature.,evaluation,S,NEUTRAL
We are like the goblin; we all go to visit the huckster because of the jam.,evaluation,S,NEUTRAL
Sentences of grandmot,RST Relation grandmot,Nuclearity,One Label
"GRANDMOTHER is very old, her face is wrinkled, and her hair is quite white; but her eyes are like two stars, and they have a mild, gentle expression in them when they look at you, which does you good.",Contrast,N,NEUTRAL
"She wears a dress of heavy, rich silk, with large flowers worked on it; and it rustles when she moves.",Contrast,S,NEUTRAL
And then she can tell the most wonderful stories.,Enablement,N,-
"Grandmother knows a great deal, for she was alive before father and mother- that's quite certain.",evaluation,S,NEUTRAL
"She has a hymn-book with large silver clasps, in which she often reads; and in the book, between the leaves, lies a rose, quite flat and dry; it is not so pretty as the roses which are standing in the glass, and yet she smiles at it most pleasantly, and tears even come into her eyes.",Contrast,S,JOY
I wonder why grandmother looks at the withered flower in the old book that way?,evaluation,N,NEUTRAL
Do you know?,Attribution,S,NEUTRAL
"Why, when grandmother's tears fall upon the rose, and she is looking at it, the rose revives, and fills the room with its fragrance; the walls vanish as in a mist, and all around her is the glorious green wood, where in summer the sunlight streams through thick foliage; and grandmother, why she is young again, a charming maiden, fresh as a rose, with round, rosy cheeks, fair, bright ringlets, and a figure pretty and graceful; but the eyes, those mild, saintly eyes, are the same,- they have been left to grandmother.",Contrast,S,JOY
"At her side sits a young man, tall and strong; he gives her a rose and she smiles.",evaluation,S,JOY
Grandmother cannot smile like that now.,Elaboration,S,-
"Yes, she is smiling at the memory of that day, and many thoughts and recollections of the past; but the handsome young man is gone, and the rose has withered in the old book, and grandmother is sitting there, again an old woman, looking down upon the withered rose in the book.",Contrast,N,NEUTRAL
Grandmother is dead now.,Attribution,S,NEUTRAL
"She had been sitting in her arm-chair, telling us a long, beautiful tale; and when it was finished, she said she was tired, and leaned her head back to sleep awhile.",Elaboration,S,NEUTRAL
"We could hear her gentle breathing as she slept; gradually it became quieter and calmer, and on her countenance beamed happiness and peace.",Elaboration,S,-
It was as if lighted up with a ray of sunshine.,evaluation,S,JOY
"She smiled once more, and then people said she was dead.",Elaboration,S,JOY
"She was laid in a black coffin, looking mild and beautiful in the white folds of the shrouded linen, though her eyes were closed; but every wrinkle had vanished, her hair looked white and silvery, and around her mouth lingered a sweet smile.",Background,N,JOY
"We did not feel at all afraid to look at the corpse of her who had been such a dear, good grandmother.",Contrast,S,NEUTRAL
"The hymn-book, in which the rose still lay, was placed under her head, for so she had wished it; and then they buried grandmother.",Elaboration,S,NEUTRAL
"On the grave, close by the churchyard wall, they planted a rose-tree; it was soon full of roses, and the nightingale sat among the flowers, and sang over the grave.",Contrast,N,NEUTRAL
"From the organ in the church sounded the music and the words of the beautiful psalms, which were written in the old book under the head of the dead one.",Contrast,N,NEUTRAL
"The moon shone down upon the grave, but the dead was not there; every child could go safely, even at night, and pluck a rose from the tree by the churchyard wall.",Elaboration,S,NEUTRAL
The dead know more than we do who are living.,Attribution,S,NEUTRAL
"They know what a terror would come upon us if such a strange thing were to happen, as the appearance of a dead person among us.",evaluation,S,NEUTRAL
They are better off than we are; the dead return no more.,evaluation,S,-
"The earth has been heaped on the coffin, and it is earth only that lies within it.",evaluation,S,NEUTRAL
"The leaves of the hymn-book are dust; and the rose, with all its recollections, has crumbled to dust also.",Elaboration,S,NEUTRAL
"But over the grave fresh roses bloom, the nightingale sings, and the organ sounds and there still lives a remembrance of old grandmother, with the loving, gentle eyes that always looked young.",Contrast,S,-
Eyes can never die.,Elaboration,S,NEUTRAL
"Ours will once again behold dear grandmother, young and beautiful as when, for the first time, she kissed the fresh, red rose, that is now dust in the grave.",Contrast,S,NEUTRAL
Sentences of great_gr,RST Relation great_gr,Nuclearity,One Label
THIS story really consists of two parts.,same-unit,N,NEUTRAL
"The first part might be left out, but it gives us a few particulars, and these are useful We were staying in the country at a gentleman's seat, where it happened that the master was absent for a few days.",Contrast,N,NEUTRAL
"In the meantime, there arrived from the next town a lady; she had a pug dog with her, and came, she said, to dispose of shares in her tan-yard.",Elaboration,N,NEUTRAL
"She had her papers with her, and we advised her to put them in an envelope, and to write thereon the address of the proprietor of the estate, General War-Commissary Knight, &c.",Enablement,S,NEUTRAL
"She listened to us attentively, seized the pen, paused, and begged us to repeat the direction slowly.",Elaboration,N,NEUTRAL
"We complied, and she wrote; but in the midst of the General War- she struck fast, sighed deeply, and said, I am only a woman!",Elaboration,S,SADNESS
"Her Puggie had seated itself on the ground while she wrote, and growled; for the dog had come with her for amusement and for the sake of its health; and then the bare floor ought not to be offered to a visitor.",Elaboration,S,ANGER
His outward appearance was characterized by a snub nose and a very fat back.,Elaboration,S,NEUTRAL
"He doesn't bite, said the lady; he has no teeth.",evaluation,S,NEUTRAL
"He is like one of the family, faithful and grumpy; but the latter is my grandchildren's fault, for they have teased him; they play at wedding, and want to give him the part of the bridesmaid, and that's too much for him, poor old fellow.",evaluation,S,NEUTRAL
"And she delivered her papers, and took Puggie upon her arm.",Elaboration,S,NEUTRAL
And this is the first part of the story which might have been left out.,evaluation,S,NEUTRAL
PUGGIE DIED!!,Attribution,S,SADNESS
That's the second part.,Elaboration,S,NEUTRAL
"It was about a week afterwards we arrived in the town, and put up at the inn.",evaluation,S,NEUTRAL
"Our windows looked into the tan-yard, which was divided into two parts by a partition of planks; in one half were many skins and hides, raw and tanned.",Elaboration,S,NEUTRAL
"Here was all the apparatus necessary to carry on a tannery, and it belonged to the widow.",evaluation,S,NEUTRAL
"Puggie had died in the morning, and was to be buried in this part of the yard; the grandchildren of the widow (that is, of the tanner's widow, for Puggie had never been married) filled up the grave, and it was a beautiful grave- it must have been quite pleasant to lie there.",Contrast,S,NEUTRAL
"The grave was bordered with pieces of flower-pots and strewn over with sand; quite at the top they had stuck up half a beer bottle, with the neck upwards, and that was not at all allegorical.",Elaboration,S,NEUTRAL
"The children danced round the grave, and the eldest of the boys among them, a practical youngster of seven years, made the proposition that there should be an exhibition of Puggie's burial-place for all who lived in the lane; the price of admission was to be a trouser button, for every boy would be sure to have one, and each might also give one for a little girl.",Contrast,N,NEUTRAL
This proposal was adopted by acclamation.,Elaboration,S,-
"And all the children out of the lane- yes, even out of the little lane at the back- flocked to the place, and each gave a button.",Elaboration,S,NEUTRAL
"Many were noticed to go about on that afternoon with only one suspender; but then they had seen Puggie's grave, and the sight was worth much more.",Elaboration,S,-
"But in front of the tan-yard, close to the entrance, stood a little girl clothed in rags, very pretty to look at, with curly hair, and eyes so blue and clear that it was a pleasure to look into them.",Contrast,S,-
"The child said not a word, nor did she cry; but each time the little door was opened she gave a long, long look into the yard.",Elaboration,S,NEUTRAL
"She had not a button- that she knew right well, and therefore she remained standing sorrowfully outside, till all the others had seen the grave and had gone away; then she sat down, held her little brown hands before her eyes, and burst into tears; this girl alone had not seen Puggie's grave.",Contrast,S,SADNESS
It was a grief as great to her as any grown person can experience.,evaluation,N,SADNESS
"We saw this from above; and looked at from above, how many a grief of our own and of others can make us smile!",Contrast,S,NEUTRAL
"That is the story, and whoever does not understand it may go and purchase a share in the tan-yard from the window.",evaluation,N,NEUTRAL
Sentences of hans_in_luck,RST Relation hans_in_luck,Nuclearity,One Label
"Some men are born to good luck: all they do or try to do comes right-- all that falls to them is so much gain--all their geese are swans--all their cards are trumps--toss them which way you will, they will always, like poor puss, alight upon their legs, and only move on so much the faster.",Contrast,N,NEUTRAL
"The world may very likely not always think of them as they think of themselves, but what care they for the world? what can it know about the matter?",evaluation,N,NEUTRAL
One of these lucky beings was neighbour Hans.,Elaboration,N,NEUTRAL
Seven long years he had worked hard for his master.,Elaboration,S,NEUTRAL
"At last he said, Master, my time is up; I must go home and see my poor mother once more: so pray pay me my wages and let me go.",Contrast,S,SADNESS
"And the master said, You have been a faithful and good servant, Hans, so your pay shall be handsome.",joint,S,-
Then he gave him a lump of silver as big as his head.,Contrast,S,NEUTRAL
"Hans took out his pocket-handkerchief, put the piece of silver into it, threw it over his shoulder, and jogged off on his road homewards.",temporal,S,-
"As he went lazily on, dragging one foot after another, a man came in sight, trotting gaily along on a capital horse.",Contrast,S,NEUTRAL
"Ah! said Hans aloud, what a fine thing it is to ride on horseback!",evaluation,S,-
"There he sits as easy and happy as if he was at home, in the chair by his fireside; he trips against no stones, saves shoe-leather, and gets on he hardly knows how.",Contrast,S,-
"Hans did not speak so softly but the horseman heard it all, and said, Well, friend, why do you go on foot then?",Elaboration,S,-
"Ah! said he, I have this load to carry: to be sure it is silver, but it is so heavy that I cant hold up my head, and you must know it hurts my shoulder sadly.",evaluation,S,-
What do you say of making an exchange? said the horseman.,Elaboration,S,NEUTRAL
"I will give you my horse, and you shall give me the silver; which will save you a great deal of trouble in carrying such a heavy load about with you.",evaluation,S,NEUTRAL
"With all my heart, said Hans: but as you are so kind to me, I must tell you one thing--you will have a weary task to draw that silver about with you.",Enablement,N,JOY
"However, the horseman got off, took the silver, helped Hans up, gave him the bridle into one hand and the whip into the other, and said, When you want to go very fast, smack your lips loudly together, and cry Jip!",Contrast,S,NEUTRAL
"Hans was delighted as he sat on the horse, drew himself up, squared his elbows, turned out his toes, cracked his whip, and rode merrily off, one minute whistling a merry tune, and another singing,",Elaboration,S,JOY
"No care and no sorrow, A fig for the morrow!",Elaboration,S,JOY
"Well laugh and be merry, Sing neigh down derry!",Elaboration,S,JOY
"After a time he thought he should like to go a little faster, so he smacked his lips and cried Jip!",Enablement,S,-
"Away went the horse full gallop; and before Hans knew what he was about, he was thrown off, and lay on his back by the road-side.",Elaboration,S,SADNESS
"His horse would have ran off, if a shepherd who was coming by, driving a cow, had not stopped it.",Elaboration,S,-
"Hans soon came to himself, and got upon his legs again, sadly vexed, and said to the shepherd, This riding is no joke, when a man has the luck to get upon a beast like this that stumbles and flings him off as if it would break his neck.",Contrast,S,-
"However, Im off now once for all: I like your cow now a great deal better than this smart beast that played me this trick, and has spoiled my best coat, you see, in this puddle; which, by the by, smells not very like a nosegay.",Contrast,S,ANGER
"One can walk along at ones leisure behind that cow--keep good company, and have milk, butter, and cheese, every day, into the bargain.",Elaboration,S,NEUTRAL
What would I give to have such a prize!,Enablement,S,-
"Well, said the shepherd, if you are so fond of her, I will change my cow for your horse; I like to do good to my neighbours, even though I lose by it myself.",Contrast,S,JOY
